"Bug ID","Product","Component","Assignee","Status","Severity","Resolution","Summary","Changed","Alias","Assignee Real Name","Blocks","Depends on","Hardware","Keywords","Last Visit","Number of Comments","Opened","OS","Personal Tags","Priority","Reporter","Reporter Real Name","Summary","Target Milestone","URL","Version","Votes"
58552,"POI","XWPF","dev","NEW","major"," ---","NPE at XWPFStyles.getUsedStyleList()","2016-03-16 21:29:24",,"POI Developers List",,,"PC",,,2,"2015-10-26 18:05:33","All",,"P2","ggg204","Stanislav Kashirin","NPE at XWPFStyles.getUsedStyleList()"," ---",,"3.15-dev",0
60277,"POI","XWPF","dev","NEW","normal"," ---","getHyperlinks() method doesn't work for some kind of Hyperlink","2017-11-11 09:05:04",,"POI Developers List",,55904,"PC",,,5,"2016-10-19 10:20:56","All",,"P2","ngiacomelli","ngiacom","getHyperlinks() method doesn't work for some kind of Hyperlink"," ---",,"3.15-FINAL",4
60316,"POI","XWPF","dev","NEW","normal"," ---","When processing glossary components, we need to return grandparent for getXWPFDocument","2016-11-04 16:56:18",,"POI Developers List",,,"PC",,,2,"2016-10-28 16:24:19","Windows NT",,"P2","tallison","Tim Allison","When processing glossary components, we need to return grandparent for getXWPFDocument"," ---",,"3.16-dev",0
60406,"POI","XWPF","dev","NEW","major"," ---","Image extensions getting altered.","2016-11-25 15:16:51",,"POI Developers List",,,"PC",,,1,"2016-11-23 06:38:42","All",,"P2","subhrajlahiri","Subhra Jyoti Lahiri","Image extensions getting altered."," ---",,"3.15-FINAL",0
60470,"POI","XWPF","dev","NEW","normal"," ---","Not extracting comments anchored in runs in XWPF","2016-12-28 19:54:41",,"POI Developers List",,,"PC",,,1,"2016-12-12 14:35:27","All",,"P2","tallison","Tim Allison","Not extracting comments anchored in runs in XWPF"," ---",,"3.16-dev",0
60471,"POI","XWPF","dev","NEW","normal"," ---","Not loading AlternateContent in XWPF","2016-12-28 19:55:47",,"POI Developers List",,,"PC",,,1,"2016-12-12 14:53:56","All",,"P2","tallison","Tim Allison","Not loading AlternateContent in XWPF"," ---",,"3.16-dev",0
60734,"POI","XWPF","dev","NEW","normal"," ---","FootEndnote numbering should be dynamic, not necessarily equal to the id","2017-02-18 10:18:52",,"POI Developers List",,,"PC",,,1,"2017-02-14 20:16:41","All",,"P2","tallison","Tim Allison","FootEndnote numbering should be dynamic, not necessarily equal to the id"," ---",,"3.16-dev",0
62138,"POI","XWPF","dev","NEW","major"," ---","Undefined results for insertNewRun() method when XWPFParagraph contains SDT runs","2018-03-17 23:29:01",,"POI Developers List",,,"PC",,,1,"2018-02-27 11:22:18","All",,"P2","radu.c.stefanescu","radu.c.stefanescu@gmail.com","Undefined results for insertNewRun() method when XWPFParagraph contains SDT runs"," ---",,"3.14-FINAL",0
62402,"POI","XWPF","dev","NEW","major"," ---","XWPFWordExtractor : Incorrect order of text extracted in document(with floating tables)","2018-05-23 13:40:19",,"POI Developers List",,,"PC",,,1,"2018-05-23 13:38:48","All",,"P2","ktsmadhav","Madhav","XWPFWordExtractor : Incorrect order of text extracted in document(with floating tables)"," ---",,"3.17-FINAL",0
62412,"POI","XWPF","dev","NEW","normal"," ---","XWPFParagraph.searchText returns null although the paragraph contains the searched value","2018-05-27 10:40:40",,"POI Developers List",,,"PC",,,1,"2018-05-27 10:40:40","All",,"P2","sommer.florian","Florian Sommer","XWPFParagraph.searchText returns null although the paragraph contains the searched value"," ---",,"3.17-FINAL",0
62505,"POI","XWPF","dev","NEW","enhancement"," ---","Add support handling of merged cells for Word documents","2018-06-28 15:11:06",,"POI Developers List",,,"PC",,,1,"2018-06-28 14:21:45","All",,"P2","marioagius94","Mario","Add support handling of merged cells for Word documents"," ---",,"unspecified",0
60102,"POI","XWPF","dev","REOPENED","enhancement"," ---","Improve error message when writing a document that has been closed","2018-02-10 14:50:27",,"POI Developers List",,,"PC",,,10,"2016-09-09 23:57:39","All",,"P2","kenneth_lau",,"Improve error message when writing a document that has been closed"," ---",,"3.15-dev",0
54823,"POI","XWPF","dev","NEEDINFO","trivial"," ---","Wrong type on Total Time field in org.openxmlformats.schemas.officeDocument.x2006.extendedProperties.CTProperties","2015-03-22 22:08:34",,"POI Developers List",,,"PC",,,5,"2013-04-10 09:27:12","Linux",,"P2","gjorgji.josifov.for.apache","Gjorgji Josifov","Wrong type on Total Time field in org.openxmlformats.schemas.officeDocument.x2006.extendedProperties.CTProperties"," ---",,"3.8-FINAL",0
57356,"POI","XWPF","dev","NEEDINFO","normal"," ---","XWPFDocument does not deal with name space xmlns:wx=""http://schemas.microsoft.com/office/word/2003/auxHint""","2014-12-17 08:26:55",,"POI Developers List",,,"PC",,,5,"2014-12-16 12:54:19","All",,"P2","kaiser_zhao1983","yang zhao","XWPFDocument does not deal with name space xmlns:wx=""http://schemas.microsoft.com/office/word/2003/auxHint"""," ---",,"3.10-FINAL",0
57463,"POI","XWPF","dev","NEEDINFO","blocker"," ---","OutOfMemeoryError while extracting text from DOCX files","2015-02-08 14:44:34",,"POI Developers List",,,"PC",,,2,"2015-01-19 12:57:12","All",,"P2","emergency.shower",,"OutOfMemeoryError while extracting text from DOCX files"," ---",,"3.11-FINAL",0
58850,"POI","XWPF","dev","NEEDINFO","normal"," ---","XWPFTable adds border while just opening and saving","2016-03-29 19:25:51",,"POI Developers List",,,"PC",,,2,"2016-01-13 11:02:49","Windows NT",,"P2","luk-ry",,"XWPFTable adds border while just opening and saving"," ---",,"unspecified",0
58961,"POI","XWPF","dev","NEEDINFO","normal"," ---","Word 2013 document won't save new run","2016-03-29 15:40:37",,"POI Developers List",,,"PC",,,2,"2016-02-02 16:53:16","All",,"P2","robbert.lambrechts","Enira","Word 2013 document won't save new run"," ---",,"3.13-FINAL",0
59625,"POI","XWPF","dev","NEEDINFO","critical"," ---","Localisation (Internationalisation in other languages) when applied in charts corrupt the MS Word file.","2016-07-08 11:48:05",,"POI Developers List",,,"PC",,,2,"2016-05-24 12:44:45","All",,"P2","chennak.s","Chenna Kesavarao","Localisation (Internationalisation in other languages) when applied in charts corrupt the MS Word file."," ---",,"3.14-FINAL",0
61467,"POI","XWPF","dev","NEEDINFO","major"," ---","Created word file using apache poi api is corrupted after adding the image to word doc.","2018-03-22 12:32:35",,"POI Developers List",,,"PC",,,4,"2017-08-29 08:48:37","All",,"P2","kiran.tl",,"Created word file using apache poi api is corrupted after adding the image to word doc."," ---",,"3.16-FINAL",0
53576,"POI","XWPF","dev","RESOLVED","critical","WORKSFORME","docx file Can't read content types part !","2016-06-12 18:30:28",,"POI Developers List",,,"PC",,,6,"2012-07-20 12:31:46","All",,"P1","murali.n","Murali Krishna","docx file Can't read content types part !"," ---",,"3.8-FINAL",0
57963,"POI","XWPF","dev","RESOLVED","blocker","FIXED","XWPFDocument should not depend on scratchpad-jar","2015-06-16 05:51:46",,"POI Developers List",57957,,"PC",,,3,"2015-05-28 05:46:29","Linux",,"P1","dominik.stadler","Dominik Stadler","XWPFDocument should not depend on scratchpad-jar"," ---",,"3.12-FINAL",0
45558,"POI","XWPF","dev","RESOLVED","normal","FIXED","poi-3.5-beta1-20080718.jar - content from a TextBox object of a 2007 docx document is not extracted.","2016-11-25 21:13:12",,"POI Developers List",55390,,"PC",,,3,"2008-08-05 05:50:16","Windows Server 2003",,"P2","grizolle_benedicte","xtrim","poi-3.5-beta1-20080718.jar - content from a TextBox object of a 2007 docx document is not extracted."," ---",,"unspecified",0
45690,"POI","XWPF","dev","RESOLVED","normal","FIXED","poi-3.5-beta1 ExtractorFactory.createExtractor doesn't work for .docm files","2009-11-03 17:36:17",,"POI Developers List",,,"PC",,,5,"2008-08-26 01:57:35","Windows XP",,"P2","kelma18","Khalid","poi-3.5-beta1 ExtractorFactory.createExtractor doesn't work for .docm files"," ---",,"3.5-dev",2
46299,"POI","XWPF","dev","RESOLVED","normal","FIXED","XWPFRun: carriage return and break line","2008-12-17 12:07:42",,"POI Developers List",,,"PC",,,2,"2008-11-26 06:43:13","Mac OS X 10.4",,"P2","g.bronzetti","Gisella Bronzetti","XWPFRun: carriage return and break line"," ---",,"3.5-dev",0
46300,"POI","XWPF","dev","RESOLVED","normal","FIXED","XWPFParagraph - improvement","2008-12-17 12:07:46",,"POI Developers List",,,"PC",,,2,"2008-11-26 06:57:29","Mac OS X 10.4",,"P2","g.bronzetti","Gisella Bronzetti","XWPFParagraph - improvement"," ---",,"3.5-dev",0
46308,"POI","XWPF","dev","RESOLVED","normal","FIXED","XWPFTable - basic support for table","2008-12-17 12:07:52",,"POI Developers List",,,"PC",,,2,"2008-11-28 07:19:07","Mac OS X 10.4",,"P2","g.bronzetti","Gisella Bronzetti","XWPFTable - basic support for table"," ---",,"3.5-dev",0
47147,"POI","XWPF","dev","RESOLVED","normal","FIXED","XWPFTableCell.getCell() creates an unecessary Paragraph","2011-05-27 14:48:09",,"POI Developers List",,,"PC",,,4,"2009-05-04 06:15:05","Windows XP",,"P2","luzifer",,"XWPFTableCell.getCell() creates an unecessary Paragraph"," ---",,"3.5-dev",0
47571,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] XWPFWordExtractor does not extract inserted/deleted text","2009-07-25 03:55:56",,"POI Developers List",,,"PC",,,5,"2009-07-24 04:17:13","Linux",,"P2","max.valjanski","Maxim Valyanskiy","[PATCH] XWPFWordExtractor does not extract inserted/deleted text"," ---",,"3.5-dev",0
47727,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] XWPFWordExtractor does not extract some headers/footers","2009-08-31 10:02:27",,"POI Developers List",,,"PC",,,4,"2009-08-24 06:56:34","Linux",,"P2","max.valjanski","Maxim Valyanskiy","[PATCH] XWPFWordExtractor does not extract some headers/footers"," ---",,"3.5-dev",0
47942,"POI","XWPF","dev","RESOLVED","enhancement","FIXED","document protection implementation","2009-10-28 09:28:03",,"POI Developers List",,,"All",,,1,"2009-10-06 02:17:09","All",,"P2","r.albertini","Roberto Albertini","document protection implementation"," ---",,"unspecified",0
48574,"POI","XWPF","dev","RESOLVED","normal","FIXED","Extention of XWPF to insert paragraphs and tables form different Documents in one Document.","2016-06-13 06:07:46",,"POI Developers List",,,"PC",,,7,"2010-01-19 08:16:46","All",,"P2","Philipp.Epp",,"Extention of XWPF to insert paragraphs and tables form different Documents in one Document."," ---",,"3.7-dev",0
49146,"POI","XWPF","dev","RESOLVED","normal","FIXED","CoreProperties.(get|set)Keywords missing","2010-04-20 06:28:34",,"POI Developers List",,,"PC",,,3,"2010-04-17 12:34:16","Windows XP",,"P2","antoni.mylka","Antoni Mylka","CoreProperties.(get|set)Keywords missing"," ---",,"3.7-dev",0
49189,"POI","XWPF","dev","RESOLVED","normal","FIXED","XWPFWordExtractor discards <w:tab/> entries.","2010-05-25 16:32:52",,"POI Developers List",,,"PC",,,5,"2010-04-27 04:21:50","Windows XP",,"P2","antoni.mylka","Antoni Mylka","XWPFWordExtractor discards <w:tab/> entries."," ---",,"3.7-dev",0
49222,"POI","XWPF","dev","RESOLVED","normal","INVALID","Cant read odt file created in both OpenOffice 3.2 and MicrosoftOffice2007","2010-04-30 07:28:49",,"POI Developers List",,,"PC",,,2,"2010-04-29 10:49:16","Windows XP",,"P2","macio77","macio","Cant read odt file created in both OpenOffice 3.2 and MicrosoftOffice2007"," ---",,"3.6-FINAL",0
49238,"POI","XWPF","dev","RESOLVED","major","INVALID","Unable to generate xlsx files to accomodate 66k+ records","2010-04-30 18:18:35",,"POI Developers List",,,"PC",,,2,"2010-04-30 16:16:31","Solaris",,"P2","k.raghavendra.rao","Raghavendra Rao","Unable to generate xlsx files to accomodate 66k+ records"," ---",,"3.6-FINAL",0
49435,"POI","XWPF","dev","RESOLVED","normal","WORKSFORME","Metadata extractor fails to extract metadata when using a ByteArrayInputStream","2016-02-14 08:29:36",,"POI Developers List",,,"All",,,5,"2010-06-14 10:51:25","All",,"P2","dvergnaud","David","Metadata extractor fails to extract metadata when using a ByteArrayInputStream"," ---",,"3.6-FINAL",0
49446,"POI","XWPF","dev","RESOLVED","normal","FIXED","[patch] please don't insert field codes in the XWPFWordExtractor output","2010-06-29 09:39:21",,"POI Developers List",,,"PC",,,4,"2010-06-16 08:56:02","Windows XP",,"P2","antoni.mylka","Antoni Mylka","[patch] please don't insert field codes in the XWPFWordExtractor output"," ---",,"3.6-dev",0
49455,"POI","XWPF","dev","RESOLVED","normal","FIXED","[patch] please insert the content of fldSimple fields into the XWPFWordTextExtractor output","2010-07-27 01:20:09",,"POI Developers List",,,"PC",,,5,"2010-06-17 11:15:36","Windows XP",,"P2","antoni.mylka","Antoni Mylka","[patch] please insert the content of fldSimple fields into the XWPFWordTextExtractor output"," ---",,"3.6-dev",0
49508,"POI","XWPF","dev","RESOLVED","normal","FIXED","Appending paragraphs to XWPFTableCell","2010-06-29 10:05:07",,"POI Developers List",,,"PC",,,2,"2010-06-26 15:36:31","Linux",,"P2","immad.naseer","Immad","Appending paragraphs to XWPFTableCell"," ---",,"unspecified",0
49593,"POI","XWPF","dev","RESOLVED","major","FIXED","XWPFRun do not preserve spaces","2010-07-27 07:00:22",,"POI Developers List",,,"PC",,,6,"2010-07-14 15:41:12","Windows Vista",,"P2","butchik","Alexey","XWPFRun do not preserve spaces"," ---",,"3.6-FINAL",0
49747,"POI","XWPF","dev","RESOLVED","enhancement","WORKSFORME","Create support for modifying the contents of an existing XWPFParagraph","2010-09-20 10:28:48",,"POI Developers List",,,"PC",,,2,"2010-08-12 18:52:45","All",,"P2","tk","TK Gospodinov","Create support for modifying the contents of an existing XWPFParagraph"," ---",,"unspecified",0
49765,"POI","XWPF","dev","RESOLVED","blocker","WONTFIX","addPictures() not displaying Image in XWPF","2018-04-13 14:52:47",,"POI Developers List",55476,,"PC","FAQ",,43,"2010-08-17 12:49:24","All",,"P2","bbarbee",,"addPictures() not displaying Image in XWPF"," ---",,"3.10-FINAL",2
49833,"POI","XWPF","dev","RESOLVED","normal","FIXED","CTNumPr type missing from poi-ooxml-schemas","2010-09-04 06:17:24",,"POI Developers List",,,"PC",,,2,"2010-08-26 18:38:16","All",,"P2","tk","TK Gospodinov","CTNumPr type missing from poi-ooxml-schemas"," ---",,"3.7-dev",0
49934,"POI","XWPF","dev","RESOLVED","normal","WORKSFORME","Problem with XWPF image detection with poi-ooxml-schemas","2016-07-26 20:02:48",,"POI Developers List",,,"PC",,,2,"2010-09-15 14:30:08","Linux",,"P2","apache","Nick Burch","Problem with XWPF image detection with poi-ooxml-schemas"," ---",,"3.7-dev",0
50474,"POI","XWPF","dev","RESOLVED","normal","FIXED","JUnit test as requested for updating embedded document.","2011-06-25 13:46:14",,"POI Developers List",,,"PC",,,2,"2010-12-14 11:38:27","Windows XP",,"P2","markbrdsly","Mark B","JUnit test as requested for updating embedded document."," ---",,"3.8-dev",0
50972,"POI","XWPF","dev","RESOLVED","normal","FIXED","XWPFWordExtractor ignores <w:br/> entries","2011-03-25 13:00:38",,"POI Developers List",,,"PC",,,2,"2011-03-25 12:40:58","All",,"P2","igor.rogov.35","Igor Rogov","XWPFWordExtractor ignores <w:br/> entries"," ---",,"3.8-dev",0
50993,"POI","XWPF","dev","RESOLVED","blocker","WONTFIX","OutOfMemory Exception on Large docx","2014-09-01 11:04:17",,"POI Developers List",,,"PC",,,7,"2011-03-29 13:37:25","All",,"P2","peter.nordquist","Peter Nordquist","OutOfMemory Exception on Large docx"," ---",,"3.7-FINAL",0
51111,"POI","XWPF","dev","RESOLVED","major","FIXED","Creating XWPFRun in XWPFParagraph does not affect runs list","2011-05-03 05:50:20",,"POI Developers List",,,"PC",,,3,"2011-04-24 13:35:15","All",,"P2","dkochelaev","Dmitry Kochelaev","Creating XWPFRun in XWPFParagraph does not affect runs list"," ---",,"3.8-dev",0
51112,"POI","XWPF","dev","RESOLVED","normal","FIXED","Creating XWPFRow in XWPFTable does not affect rows list","2011-05-03 05:56:17",,"POI Developers List",,,"PC",,,3,"2011-04-24 13:39:45","All",,"P2","dkochelaev","Dmitry Kochelaev","Creating XWPFRow in XWPFTable does not affect rows list"," ---",,"3.8-dev",0
51113,"POI","XWPF","dev","RESOLVED","normal","FIXED","XWPFParagraph.insertNewRun(..)  always insert run in the end","2011-05-03 05:53:24",,"POI Developers List",,,"PC",,,3,"2011-04-24 13:44:56","All",,"P2","dkochelaev","Dmitry Kochelaev","XWPFParagraph.insertNewRun(..)  always insert run in the end"," ---",,"3.8-dev",0
51134,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] XWPFNumbering and XWPFStyles classes lack a constructor that doesn't call onDocumentRead","2011-07-08 13:13:11",,"POI Developers List",,,"All",,,6,"2011-04-28 10:26:36","All",,"P2","mceuen","Mike McEuen","[PATCH] XWPFNumbering and XWPFStyles classes lack a constructor that doesn't call onDocumentRead"," ---",,"3.7-FINAL",0
51148,"POI","XWPF","dev","RESOLVED","major","FIXED","XWPFDocument.removeBodyElement(int pos) error","2011-05-06 02:14:48",,"POI Developers List",,,"PC",,,2,"2011-05-04 09:40:04","Windows XP",,"P2","ptorrodellas",,"XWPFDocument.removeBodyElement(int pos) error"," ---",,"3.7-FINAL",0
51172,"POI","XWPF","dev","RESOLVED","normal","FIXED","[Patch] Add  GIF support for images","2011-05-27 13:35:48",,"POI Developers List",,,"PC",,,9,"2011-05-09 07:04:51","All",,"P2","stefan.stern","Stefan Stern","[Patch] Add  GIF support for images"," ---",,"unspecified",0
51175,"POI","XWPF","dev","RESOLVED","normal","FIXED","[Patch] Proposal: Avoid Autoboxing","2011-05-13 12:22:52",,"POI Developers List",,,"PC",,,4,"2011-05-09 09:41:26","All",,"P2","stefan.stern","Stefan Stern","[Patch] Proposal: Avoid Autoboxing"," ---",,"unspecified",0
51265,"POI","XWPF","dev","RESOLVED","enhancement","FIXED","Enhance Handling of Picture Parts","2011-06-06 08:46:50",,"POI Developers List",,,"PC",,,10,"2011-05-25 12:53:33","All",,"P2","stefan.stern","Stefan Stern","Enhance Handling of Picture Parts"," ---",,"unspecified",0
51486,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] Unable to create Footnotes on a new XWPFDocument","2011-07-08 13:25:11",,"POI Developers List",,,"All",,,5,"2011-07-07 16:55:14","All",,"P2","mceuen","Mike McEuen","[PATCH] Unable to create Footnotes on a new XWPFDocument"," ---",,"3.7-FINAL",0
51564,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] added support for enforcing fields update","2012-02-29 12:53:14",,"POI Developers List",,,"PC",,,4,"2011-07-27 12:45:55","Windows XP",,"P2","matej.krchniak",,"[PATCH] added support for enforcing fields update"," ---",,"unspecified",0
51763,"POI","XWPF","dev","RESOLVED","major","INVALID","Inserting a dynamic table into a cell of a row","2016-01-22 05:00:24",,"POI Developers List",,,"PC","APIBug",,7,"2011-09-02 17:38:02","Windows XP",,"P2","notify.priyank","Priyank","Inserting a dynamic table into a cell of a row"," ---",,"3.8-dev",0
51770,"POI","XWPF","dev","RESOLVED","normal","FIXED","NPE Parsing MS Word 12.0.0 XWPFPicture.getPictureData()","2011-09-12 10:37:30",,"POI Developers List",,,"All",,,2,"2011-09-06 13:05:41","All",,"P2","pablo.queixalos","pqueixalos","NPE Parsing MS Word 12.0.0 XWPFPicture.getPictureData()"," ---",,"3.8-dev",0
51787,"POI","XWPF","dev","RESOLVED","major","WORKSFORME","First row is duplicated in the XWPFTable constructor","2016-06-12 17:17:44",,"POI Developers List",,,"All",,,3,"2011-09-08 13:40:25","All",,"P2","c_igaly","Cedomir Igaly","First row is duplicated in the XWPFTable constructor"," ---",,"unspecified",0
51950,"POI","XWPF","dev","RESOLVED","major","FIXED","XWPFDocument and getFootnotes()","2011-10-05 21:27:16",,"POI Developers List",,,"PC",,,2,"2011-10-04 13:50:33","All",,"P2","nkislitsin","Nikolai","XWPFDocument and getFootnotes()"," ---",,"3.8-dev",0
52190,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] XWPFRun.setFontFamily fails if called first when setting run properties","2011-11-16 10:33:19",,"POI Developers List",,,"Macintosh",,,2,"2011-11-16 01:23:31","All",,"P2","gregg.morris","Gregg Morris","[PATCH] XWPFRun.setFontFamily fails if called first when setting run properties"," ---",,"3.8-dev",0
52200,"POI","XWPF","dev","RESOLVED","enhancement","FIXED","[PATCH] Updated XWPF table example code","2011-12-25 11:09:54",,"POI Developers List",,,"Macintosh",,,2,"2011-11-16 17:02:19","All",,"P2","gregg.morris","Gregg Morris","[PATCH] Updated XWPF table example code"," ---",,"3.8-dev",0
52255,"POI","XWPF","dev","RESOLVED","normal","FIXED","RFE: XWPFPictureData should allow registration of new image formats","2012-02-26 06:38:55",,"POI Developers List",,,"PC",,,6,"2011-11-28 13:06:54","All",,"P2","pslaby",,"RFE: XWPFPictureData should allow registration of new image formats"," ---",,"3.8-dev",0
52285,"POI","XWPF","dev","RESOLVED","normal","FIXED","[Patch] Enhance XWPF Paragraph to parse (nested) smart tags","2011-12-06 04:31:57",,"POI Developers List",,,"PC",,,2,"2011-12-05 12:48:05","All",,"P2","fabian.lange","Fabian Lange","[Patch] Enhance XWPF Paragraph to parse (nested) smart tags"," ---",,"unspecified",0
52288,"POI","XWPF","dev","RESOLVED","blocker","WORKSFORME","Trying to set font family on XWPFRun causes NPE","2011-12-07 02:24:25",,"POI Developers List",,,"PC",,,3,"2011-12-06 03:17:28","Windows XP",,"P2","jturnbul",,"Trying to set font family on XWPFRun causes NPE"," ---",,"3.8-dev",0
52449,"POI","XWPF","dev","RESOLVED","normal","FIXED","NullPointerException in org.apache.poi.xwpf.usermodel.XWPFStyles.commit()","2012-01-11 14:02:51",,"POI Developers List",,,"PC",,,2,"2012-01-11 09:28:21","Linux",,"P2","nsh","Niels S. Hansen","NullPointerException in org.apache.poi.xwpf.usermodel.XWPFStyles.commit()"," ---",,"3.8-dev",0
52540,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] Need to support docx files with multiple core properties","2012-01-30 13:00:48",,"POI Developers List",,,"Macintosh",,,6,"2012-01-27 05:28:25","All",,"P2","gregg.morris","Gregg Morris","[PATCH] Need to support docx files with multiple core properties"," ---",,"3.8-dev",0
52561,"POI","XWPF","dev","RESOLVED","enhancement","FIXED","[PATCH] XWPFTable: add methods to set table inside borders and cell margins","2012-02-07 09:15:56",,"POI Developers List",,,"Macintosh",,,3,"2012-01-30 23:00:03","All",,"P2","gregg.morris","Gregg Morris","[PATCH] XWPFTable: add methods to set table inside borders and cell margins"," ---",,"3.8-dev",0
52562,"POI","XWPF","dev","RESOLVED","enhancement","FIXED","[PATCH] add methods to get/set a table row's Can't Split and Repeat Header attributes","2012-02-07 09:22:19",,"POI Developers List",,,"Macintosh",,,3,"2012-01-31 00:52:09","All",,"P2","gregg.morris","Gregg Morris","[PATCH] add methods to get/set a table row's Can't Split and Repeat Header attributes"," ---",,"3.8-dev",0
52566,"POI","XWPF","dev","RESOLVED","enhancement","FIXED","[PATCH] Add methods to set/get XWPFTableCell vertical alignment, color","2012-02-07 09:42:17",,"POI Developers List",,,"Macintosh",,,4,"2012-01-31 19:34:35","All",,"P2","gregg.morris","Gregg Morris","[PATCH] Add methods to set/get XWPFTableCell vertical alignment, color"," ---",,"3.8-dev",0
52568,"POI","XWPF","dev","RESOLVED","enhancement","FIXED","[PATCH] Add methods to set/get an XWPFRun's text color","2012-02-07 09:45:38",,"POI Developers List",,,"Macintosh",,,3,"2012-01-31 22:36:17","All",,"P2","gregg.morris","Gregg Morris","[PATCH] Add methods to set/get an XWPFRun's text color"," ---",,"3.8-dev",0
52570,"POI","XWPF","dev","RESOLVED","normal","FIXED","[PATCH] Small bug fixes in XWPFDocument","2012-02-07 09:48:37",,"POI Developers List",,,"Macintosh",,,3,"2012-02-01 00:23:11","All",,"P2","gregg.morris","Gregg Morris","[PATCH] Small bug fixes in XWPFDocument"," ---",,"3.8-dev",0
52619,"POI","XWPF","dev","RESOLVED","normal","WORKSFORME","When addding to a table, the first and second row's data appears on the first row","2016-02-17 21:24:33",,"POI Developers List",,,"PC",,,3,"2012-02-07 21:41:49","Windows XP",,"P2","rnichol7","RMNichols","When addding to a table, the first and second row's data appears on the first row"," ---",,"3.6-FINAL",0
